Region,"C05-Age as of Last Birthday","C07-Highest Grade Completed","C09-Work Indicator","C10-Job Indicator","C11 - Location of Work (Province, Municipality)","C15-Major Industry Group","C25-Looked for Work or Tried to Establish Business during the past week","C26-Reason for not Looking for Work","C27-Available for Work"
01,41,50611,1," ",2805,01," ","  "," "
01,39,40913," "," ","    ","  "," ","  "," "
01,18,34013,2,2,"    ","  ",2,08," "
01,15,24013,2,2,"    ","  ",2,08," "
01,62,24015,1," ",2805,01," ","  "," "
01,58,24015,1," ",2805,01," ","  "," "
01,55,24015,1," ",2805,47," ","  "," "
01,02,"     "," "," ","    ","  "," ","  "," "
01,70,10014,1," ",2805,01," ","  "," "
01,42,24015,1," ",2805,47," ","  "," "
01,29,24015,1," ",2805,47," ","  "," "
01,17,34031,1," ",2805,01," ","  "," "
01,82,24015,1," ",2805,01," ","  "," "
01,77,10018,2,2,"    ","  ",2,61," "
01,24,60002,1," ",2805,96," ","  "," "
01,24,60002,2,2,"    ","  ",2,07," "
01,05,01000,2,2,"    ","  "," ","  "," "
01,95,10013,2,2,"    ","  ",2,61," "
01,62,24015,1," ",2805,01," ","  "," "
01,63,60001,1," ",2805,84," ","  "," "
01,82,10018,2,2,"    ","  ",2,61," "
01,20,60001,2,2,"    ","  ",2,08," "
01,15,24013,2,2,"    ","  ",2,08," "
01,46,24015," "," ","    ","  "," ","  "," "
01,83,10014,2,2,"    ","  ",2,61," "
01,43,10015,1," ",2805,01," ","  "," "
01,51,24012,1," ",2805,01," ","  "," "
01,49,24013,1," ",2805,01," ","  "," "
01,47,24015,1," ",2805,01," ","  "," "
01,27,60715,1," ",2805,80," ","  "," "
01,28,60811,2,2,"    ","  ",2,07," "
01,01,"     "," "," ","    ","  "," ","  "," "
01,00,"     "," "," ","    ","  "," ","  "," "
01,69,60002,2,2,"    ","  ",2,61," "
01,71,60413,2,2,"    ","  ",2,62," "
01,73,24015,2,2,"    ","  ",2,61," "
01,45,24015,1," ",2805,84," ","  "," "
01,38,60111,1," ",2805,85," ","  "," "
01,35,24015,1," ",2805,53," ","  "," "
01,43,60411,2,2,"    ","  ",2,07," "
01,10,10014,2,2,"    ","  "," ","  "," "
01,47,60002,1," ",2805,01," ","  "," "
