Region,"C05-Age as of Last Birthday","C07-Highest Grade Completed","C11 - Location of Work (Province, Municipality)","C15-Major Industry Group","New Employment Criteria (jul 05, 2005)"
01,41,50611,2805,01,1
01,39,40913,"    ","  "," "
01,18,34013,"    ","  ",3
01,15,24013,"    ","  ",3
01,62,24015,2805,01,1
01,58,24015,2805,01,1
01,55,24015,2805,47,1
01,02,"     ","    ","  "," "
01,70,10014,2805,01,1
01,42,24015,2805,47,1
01,29,24015,2805,47,1
01,17,34031,2805,01,1
01,82,24015,2805,01,1
01,77,10018,"    ","  ",3
01,24,60002,2805,96,1
01,24,60002,"    ","  ",3
01,05,01000,"    ","  "," "
01,95,10013,"    ","  ",3
01,62,24015,2805,01,1
01,63,60001,2805,84,1
01,82,10018,"    ","  ",3
01,20,60001,"    ","  ",3
01,15,24013,"    ","  ",3
01,46,24015,"    ","  "," "
01,83,10014,"    ","  ",3
01,43,10015,2805,01,1
01,51,24012,2805,01,1
01,49,24013,2805,01,1
01,47,24015,2805,01,1
01,27,60715,2805,80,1
01,28,60811,"    ","  ",3
01,01,"     ","    ","  "," "
01,00,"     ","    ","  "," "
01,69,60002,"    ","  ",3
01,71,60413,"    ","  ",3
01,73,24015,"    ","  ",3
01,45,24015,2805,84,1
01,38,60111,2805,85,1
01,35,24015,2805,53,1
01,43,60411,"    ","  ",3
01,10,10014,"    ","  "," "
01,47,60002,2805,01,1
01,17,34021,"    ","  ",3
01,23,24015,2805,53,1
01,29,24015,2805,01,1
01,26,41012,2805,47,1
01,04,"     ","    ","  "," "
01,00,"     ","    ","  "," "
01,60,24015,2805,01,1
01,60,24015,"    ","  ",3
01,40,60612,2805,01,1
01,34,24015,2805,01,1
01,14,24012,"    ","  "," "
01,10,10013,"    ","  "," "
01,04,"     ","    ","  "," "
01,00,"     ","    ","  "," "
01,50,24015,2805,41,1
01,46,24015,"    ","  ",3
01,23,60002,"    ","  ",3
01,14,24011,"    ","  "," "
01,73,10018,"    ","  ",3
01,47,24015,2806,96,1
01,38,24015,2806,41,1
01,37,24015,"    ","  ",3
01,16,24013,"    ","  ",3
01,08,10012,"    ","  "," "
01,42,24011,2806,01,1
01,41,24013,2806,47,1
01,24,35013,2806,01,1
01,18,34011,2806,01,1
01,16,24015,"    ","  ",3
01,23,24013,2806,10,1
01,21,35013,"    ","  ",3
01,00,"     ","    ","  "," "
01,47,60002,2806,41,1
01,38,60002,2806,01,1
01,14,24012,"    ","  "," "
01,03,"     ","    ","  "," "
01,61,24015,2806,01,1
01,55,24015,2806,84,1
01,65,24012,2806,01,1
01,65,24015,2806,01,1
01,38,24015,2806,01,1
01,86,10014,2806,01,1
01,85,10014,"    ","  ",3
01,24,34023,2806,01,1
01,16,24015,"    ","  ",3
01,15,24013,"    ","  ",3
01,40,24015,2806,01,1
01,35,24015,2806,96,1
01,15,24015,2806,01,1
01,13,24012,"    ","  "," "
01,10,10015,"    ","  "," "
01,02,"     ","    ","  "," "
01,38,10018,2806,01,1
01,69,10018,2806,01,1
01,64,10018,2806,01,1
01,39,24015,2806,01,1
01,15,24012,"    ","  ",3
01,69,10012,2806,01,1
01,63,10018,2806,01,1
01,33,10011,2806,01,1
01,67,10018,2806,01,1
01,67,10018,"    ","  ",3
01,48,10014,2806,01,1
01,42,10018,2806,01,1
01,73,10018,2812,47,1
01,62,10018,2812,47,1
01,63,60412,2812,84,1
01,56,60003,2812,56,1
01,26,60002,"    ","  ",3
01,23,60003,"    ","  ",3
01,20,60001,"    ","  ",3
01,05,01000,"    ","  "," "
01,67,60715,"    ","  ",3
01,57,60688,"    ","  ",3
01,50,10018,2812,31,1
01,25,60488,2812,47,1
01,48,24015,2812,47,1
01,22,60001,"    ","  ",3
01,16,24013,"    ","  ",3
01,46,60913,2812,87,1
01,60,24015,2812,47,1
01,62,60002,2812,47,1
01,32,24012,2812,52,1
01,33,60415,2812,47,1
01,07,10011,"    ","  "," "
01,70,60415,"    ","  ",3
01,70,60111,"    ","  ",3
01,44,24015,2823,55,1
01,39,60612,2823,55,1
01,16,35011,"    ","  ",3
01,04,"     ","    ","  "," "
01,45,60612,2812,45,1
01,20,60001,"    ","  ",3
01,12,10015,"    ","  "," "
01,10,10013,"    ","  "," "
01,76,10018,"    ","  ",3
01,57,60314,2816,80,1
01,58,60732,2812,41,1
01,48,60415,2812,82,1
01,15,24013,"    ","  ",3
01,66,24015,2812,41,1
01,36,24015,2812,56,1
01,36,60913,2812,47,1
01,10,10015,"    ","  "," "
01,55,24015,"    ","  "," "
01,34,60913,"    ","  "," "
01,56,60002,2820,56,1
01,57,60002,2812,47,1
01,27,60411,2819,82,1
01,76,10018,"    ","  ",3
01,76,10018,"    ","  ",3
01,22,61013,"    ","  ",2
01,16,34011,"    ","  ",3
01,67,24015,2812,84,1
01,61,24015,"    ","  ",3
01,18,60001,"    ","  ",3
01,28,60612,2812,84,1
01,28,60613,2812,82,1
01,00,"     ","    ","  "," "
01,27,24015,2812,10,1
01,31,50413,2812,46,1
01,44,60001,2812,47,1
01,24,60003,2812,14,1
01,19,34013,"    ","  ",3
01,23,35013,2812,53,1
01,60,60719,2812,52,1
01,50,10018,"    ","  ",3
01,34,24015,2812,43,1
01,31,60611,"    ","  ",3
01,10,10015,"    ","  "," "
01,08,10012,"    ","  "," "
01,24,60914,2812,52,1
01,74,10018,"    ","  ",3
01,29,10018,2812,41,1
01,30,24015,"    ","  ",3
01,11,10014,"    ","  "," "
01,08,10011,"    ","  "," "
01,07,10011,"    ","  "," "
01,61,60913,2812,86,1
01,31,24015,2812,18,1
01,34,60413,2812,47,1
01,42,60716,2812,41,1
01,42,24015,"    ","  ",3
01,19,60001,"    ","  ",3
01,16,34011,"    ","  ",3
01,65,60488,"    ","  ",3
01,56,60411,2812,64,1
01,22,60002,"    ","  ",3
01,17,24015,"    ","  ",3
01,50,24015,2812,41,1
01,44,24015,2812,01,1
01,19,34013,"    ","  ",3
01,53,10018,2820,96,1
01,33,24012,"    ","  ",3
01,32,10018,2820,01,1
01,29,24015,2820,95,1
01,23,35013,3904,01,1
01,17,24015,"    ","  ",3
01,38,24015,2820,41,1
01,38,61013,2820,56,1
01,15,24015,"    ","  ",3
01,12,10018,"    ","  "," "
01,09,10013,"    ","  "," "
01,40,24015,2820,01,1
01,43,60111,2820,96,1
01,15,24012,"    ","  ",3
01,15,24012,"    ","  ",3
01,08,10013,"    ","  "," "
01,03,"     ","    ","  "," "
01,37,60913,2820,84,1
01,36,60913,"    ","  ",3
01,04,"     ","    ","  "," "
01,00,"     ","    ","  "," "
01,58,24015,2820,53,1
01,60,24015,2820,01,1
01,24,34013,2820,41,1
01,18,35013,"    ","  ",3
01,03,"     ","    ","  "," "
01,65,10018,2820,49,1
01,62,24015,"    ","  ",3
01,75,10018,2820,01,1
01,73,10018,2820,01,1
01,61,24012,2820,01,1
01,65,24011,2820,47,1
01,88,10014,"    ","  ",3
01,54,50716,2820,49,1
01,25,60002,2820,42,1
01,31,60003,"    ","  ",3
01,01,"     ","    ","  "," "
01,29,24015,2820,49,1
01,06,10011,"    ","  "," "
01,03,"     ","    ","  "," "
01,01,"     ","    ","  "," "
01,71,80113,"    ","  ",3
01,49,60002,2820,01,1
01,52,60111,2820,01,1
01,22,60003,"    ","  ",3
01,19,24015,2820,01,1
01,60,24015,2820,49,1
01,27,24013,2820,53,1
01,29,24015,"    ","  ",3
01,00,"     ","    ","  "," "
