Region,Employed,Unemployed,Age,Education,LocationOfWork,Industry
1,1,0,41,50611,2805,1
1,1,0,62,24015,2805,1
1,1,0,58,24015,2805,1
1,1,0,55,24015,2805,47
1,1,0,70,10014,2805,1
1,1,0,42,24015,2805,47
1,1,0,29,24015,2805,47
1,1,0,17,34031,2805,1
1,1,0,82,24015,2805,1
1,1,0,24,60002,2805,96
1,1,0,62,24015,2805,1
1,1,0,63,60001,2805,84
1,1,0,43,10015,2805,1
1,1,0,51,24012,2805,1
1,1,0,49,24013,2805,1
1,1,0,47,24015,2805,1
1,1,0,27,60715,2805,80
1,1,0,45,24015,2805,84
1,1,0,38,60111,2805,85
1,1,0,35,24015,2805,53
1,1,0,47,60002,2805,1
1,1,0,23,24015,2805,53
1,1,0,29,24015,2805,1
1,1,0,26,41012,2805,47
1,1,0,60,24015,2805,1
1,0,1,60,24015,0,0
1,1,0,40,60612,2805,1
1,1,0,34,24015,2805,1
1,1,0,50,24015,2805,41
1,1,0,47,24015,2806,96
1,1,0,38,24015,2806,41
1,1,0,42,24011,2806,1
1,1,0,41,24013,2806,47
1,1,0,24,35013,2806,1
1,1,0,18,34011,2806,1
1,1,0,23,24013,2806,10
1,1,0,47,60002,2806,41
1,1,0,38,60002,2806,1
1,1,0,61,24015,2806,1
1,1,0,55,24015,2806,84
1,1,0,65,24012,2806,1
1,1,0,65,24015,2806,1
1,1,0,38,24015,2806,1
1,1,0,86,10014,2806,1
1,1,0,24,34023,2806,1
1,1,0,40,24015,2806,1
1,1,0,35,24015,2806,96
1,1,0,15,24015,2806,1
1,1,0,38,10018,2806,1
1,1,0,69,10018,2806,1
1,1,0,64,10018,2806,1
1,1,0,39,24015,2806,1
1,1,0,69,10012,2806,1
1,1,0,63,10018,2806,1
1,1,0,33,10011,2806,1
1,1,0,67,10018,2806,1
1,1,0,48,10014,2806,1
1,1,0,42,10018,2806,1
1,1,0,73,10018,2812,47
1,1,0,62,10018,2812,47
1,1,0,63,60412,2812,84
1,1,0,56,60003,2812,56
1,1,0,50,10018,2812,31
1,1,0,25,60488,2812,47
1,1,0,48,24015,2812,47
1,1,0,46,60913,2812,87
1,1,0,60,24015,2812,47
1,1,0,62,60002,2812,47
1,1,0,32,24012,2812,52
1,1,0,33,60415,2812,47
1,1,0,44,24015,2823,55
1,1,0,39,60612,2823,55
1,1,0,45,60612,2812,45
1,1,0,57,60314,2816,80
1,1,0,58,60732,2812,41
1,1,0,48,60415,2812,82
1,1,0,66,24015,2812,41
1,1,0,36,24015,2812,56
1,1,0,36,60913,2812,47
1,1,0,56,60002,2820,56
1,1,0,57,60002,2812,47
1,1,0,27,60411,2819,82
1,0,1,76,10018,0,0
1,0,1,22,61013,0,0
1,1,0,67,24015,2812,84
1,1,0,28,60612,2812,84
1,1,0,28,60613,2812,82
1,1,0,27,24015,2812,10
1,1,0,31,50413,2812,46
1,1,0,44,60001,2812,47
1,1,0,24,60003,2812,14
1,1,0,23,35013,2812,53
1,1,0,60,60719,2812,52
1,1,0,34,24015,2812,43
1,1,0,24,60914,2812,52
1,1,0,29,10018,2812,41
1,1,0,61,60913,2812,86
1,1,0,31,24015,2812,18
1,1,0,34,60413,2812,47
1,1,0,42,60716,2812,41
1,0,1,65,60488,0,0
1,1,0,56,60411,2812,64
1,1,0,50,24015,2812,41
1,1,0,44,24015,2812,1
1,1,0,53,10018,2820,96
1,1,0,32,10018,2820,1
1,1,0,29,24015,2820,95
1,1,0,23,35013,3904,1
1,1,0,38,24015,2820,41
1,1,0,38,61013,2820,56
1,1,0,40,24015,2820,1
1,1,0,43,60111,2820,96
1,1,0,37,60913,2820,84
1,1,0,58,24015,2820,53
1,1,0,60,24015,2820,1
1,1,0,24,34013,2820,41
1,1,0,65,10018,2820,49
1,1,0,75,10018,2820,1
1,1,0,73,10018,2820,1
1,1,0,61,24012,2820,1
1,1,0,65,24011,2820,47
1,1,0,54,50716,2820,49
1,1,0,25,60002,2820,42
1,1,0,29,24015,2820,49
1,1,0,49,60002,2820,1
1,1,0,52,60111,2820,1
1,1,0,19,24015,2820,1
1,1,0,60,24015,2820,49
1,1,0,27,24013,2820,53
1,1,0,47,10018,2820,1
1,1,0,43,24015,2820,1
1,1,0,75,10011,2820,1
1,1,0,35,24015,2820,1
1,1,0,47,10018,2820,1
1,1,0,38,24015,2820,1
1,1,0,42,24015,2820,1
1,1,0,33,60913,2820,82
1,1,0,50,10018,2822,41
1,1,0,67,10013,2822,1
1,1,0,67,10015,2822,47
1,1,0,41,60111,2822,85
1,1,0,72,10018,2822,1
1,1,0,54,10018,2822,1
1,0,1,52,24012,0,0
1,1,0,28,24015,2822,1
1,1,0,45,24015,2822,1
1,1,0,45,60913,2822,1
1,1,0,33,60211,2822,18
1,1,0,35,24015,2822,45
1,1,0,36,60714,2822,82
1,1,0,38,24012,2822,16
1,1,0,62,24015,2822,1
1,1,0,59,60111,2822,85
1,1,0,55,10011,2822,1
1,1,0,53,24015,2822,1
1,1,0,34,24015,2822,47
1,1,0,24,24015,2812,47
1,1,0,32,24015,2818,47
1,0,1,21,24015,0,0
1,1,0,59,10012,2822,1
1,1,0,54,10018,2822,1
1,1,0,23,60002,2822,1
1,1,0,77,10018,2822,1
1,1,0,60,10018,2822,1
1,1,0,23,35013,2822,1
1,1,0,45,24015,2812,82
1,1,0,71,10018,2822,1
1,1,0,41,60001,2812,47
1,1,0,18,34021,2822,1
1,1,0,22,24015,2812,82
1,1,0,27,60003,2822,84
1,1,0,23,10018,2822,41
1,1,0,31,10018,2822,41
1,1,0,36,24015,2822,1
1,1,0,30,10018,2822,1
1,1,0,33,10018,2822,1
1,1,0,29,24015,2822,47
1,1,0,70,24015,2822,1
1,1,0,59,10018,2822,1
1,1,0,26,24015,2822,41
1,1,0,20,24015,2822,47
1,1,0,35,61013,2822,47
1,1,0,43,24013,2822,1
1,1,0,40,10018,2822,1
1,1,0,51,24015,2822,1
1,1,0,39,24015,2822,1
1,1,0,19,34013,2822,1
1,1,0,72,10018,2822,1
1,1,0,54,10018,2823,1
1,1,0,44,24015,2823,1
1,1,0,23,60488,2823,1
1,1,0,69,10018,2823,1
1,1,0,62,24012,2823,1
1,1,0,30,24015,2823,41
1,1,0,22,24015,2820,56
1,1,0,53,60001,2823,1
1,1,0,54,24012,2823,1
1,1,0,52,60003,2823,1
1,1,0,42,60003,2823,84
1,1,0,37,60003,2823,47
1,1,0,69,60111,2823,1
1,1,0,64,60831,2817,84
1,1,0,39,60612,2823,84
1,1,0,35,60111,2823,85
1,1,0,43,24015,2823,1
1,1,0,37,24015,2823,1
1,1,0,71,24012,2823,47
1,1,0,32,24015,2823,1
1,1,0,31,24015,2823,1
1,1,0,62,24015,2823,1
1,1,0,31,10018,2823,1
1,1,0,21,24015,2823,1
1,1,0,49,24015,2905,42
1,1,0,42,24015,2930,49
1,1,0,84,10018,2905,1
1,1,0,31,50913,2905,1
1,1,0,42,24015,2905,47
1,1,0,37,24012,2905,47
1,1,0,65,10018,2905,1
1,1,0,64,10018,2905,47
1,1,0,28,24015,2905,49
1,1,0,33,24015,2905,96
1,1,0,33,24012,2905,1
1,1,0,31,40721,2905,96
1,1,0,43,10018,2920,42
1,1,0,63,24015,2905,1
1,1,0,56,24015,2934,84
1,1,0,44,40716,2905,1
1,1,0,59,40716,2905,80
1,1,0,43,24015,2905,47
1,0,1,20,24015,0,0
1,1,0,22,10018,2905,41
1,1,0,23,24012,2905,41
1,1,0,59,10014,2905,1
1,1,0,55,10018,2905,1
1,1,0,27,24015,2905,41
1,1,0,25,60001,3905,47
